coefficient	226_f	225_f	224_f	223_f	222_f	221_f	220_f	219_f	218_f	217_f	216_f	215_f	214_f	213_f	212_f	211_f	210_f	209_f	208_f	207_f	206_f	205_f	204_f	203_f	202_f	201_f	200_f	199_f	198_f	197_f	196_f	195_f	194_f	193_f	192_f	191_f	190_f	189_f	188_f	187_f	186_f	185_f	184_f	183_f	182_f	181_f	180_f	179_f	178_f	177_f	176_f	175_f	174_f	173_f	172_f	171_f	170_f	169_f	168_f	167_f	166_f	165_f	164_f	163_f	162_f	161_f	160_f	159_f	158_f	157_f	156_f	155_f	154_f	153_f	152_f	151_f	150_f	149_f	148_f	147_f	146_f	145_f	144_f	143_f	142_f	141_f	140_f	139_f	138_f	137_f	136_f	135_f	134_f	133_f	132_f	131_f	130_f	129_f	128_f	127_f	126_f	125_f	124_f	123_f	122_f	121_f	120_f	119_f	118_f	117_f	116_f	115_f	114_f	113_f	112_f	111_f	110_f	109_f	108_f	107_f	106_f	105_f	104_f	103_f	102_f	101_f	100_f	99_f	98_f	97_f	96_f	95_f	94_f	93_f	92_f	91_f	90_f	89_f	88_f	87_f	86_f	85_f	84_f	83_f	82_f	81_f	80_f	79_f	78_f	77_f	76_f	75_f	74_f	73_f	72_f	71_f	70_f	69_f	68_f	67_f	66_f	65_f	64_f	63_f	62_f	61_f	60_f	59_f	58_f	57_f	56_f	55_f	54_f	53_f	52_f	51_f	50_f	49_f	48_f	47_f	46_f	45_f	44_f	43_f	42_f	41_f	40_f	39_f	38_f	37_f	36_f	35_f	34_f	33_f	32_f	31_f	30_f	29_f	28_f	27_f	26_f	25_f	24_f	23_f	22_f	21_f	20_f	19_f	18_f	17_f	16_f	15_f	14_f	13_f	12_f	11_f	10_f	9_f	8_f	7_f	6_f	5_f	4_f	3_f	2_f	1_f
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	-0.00894335708722	-0.00892066090404	-0.00895508612921	-0.00902056396286	-0.00901062590143	-0.00904600991449	-0.00917339840304	-0.00913666815928	-0.00903724220099	-0.00911041969902	-0.00907149268893	-0.00920232026048	-0.00954492141565	-0.00942036698151	-0.0095766497174	-0.00955773105649	-0.00945578922391	-0.00957571237037	-0.00986327264357	-0.0103588837495	-0.0102994050019	-0.0102672503136	-0.0102167223261	-0.0101121924019	-0.00996290331669	-0.010013981514	-0.0102572683733	-0.0110533450323	-0.0111359220849	-0.0112421689576	-0.0109591800041	-0.0107764458676	-0.0104660340752	-0.0117867479539	-0.0115130853367	-0.0119757829596	-0.0119746446514	-0.0117048218786	-0.0114388265909	-0.012345228871	-0.0128289803597	-0.0126475385955	-0.0124086071992	-0.0131376732706	-0.0135607429335	-0.0134747343776	-0.0132245820298																																																																																																																																																																																			
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__;s__	0.0537321571543	0.0537442479489	0.0537500592589	0.0537577756722	0.0537538274686	0.0538205450205	0.0537343986689	0.0536465022752	0.0537039335796	0.0537079421107	0.0536739383713	0.0536214820266	0.0536120827616	0.053655428251	0.0537299975208	0.0536792147429	0.0535595266261	0.0533225453863	0.0531387272392	0.0530777817712	0.0526581761562	0.0526630036063	0.0525949536123	0.0525201078629	0.0523433930971	0.0523355660074	0.0524623050051	0.0525503509067	0.0528148388492	0.0526878948751	0.0524624888306	0.0526333708892	0.052657269174	0.0527975284554	0.0533127823807	0.0536793670794	0.0539119869284	0.0533699134257	0.0533499665537	0.0527959282288	0.0531001003923	0.0517784775922	0.0524069240476	0.0523061598328	0.0519204813028	0.0513402758145	0.0514207170381	0.0512744345202	0.0515154961698	0.0525451060639	0.0523615097629	0.0525574878792	0.0528398862365	0.0535214767775	0.053503185062	0.0533788559438	0.0529821817917	0.0538782339738	0.0545895556671	0.0542609965574	0.0546534896377	0.054447229424	0.0550256088946	0.0546769945385	0.0555493624101	0.0559467047579	0.055384515286	0.055166962722	0.0556869095862	0.0556307078154	0.0554479329772	0.0569679332689	0.059128553926	0.0569397540404	0.0573986588504	0.0561686842475	0.0585207984198	0.0596190320204	0.0596433677298	0.0574592880347	0.0585653415679	0.0590805096698	0.05876155786	0.0568077869513	0.0578366217866	0.0565948558606	0.055665935882	0.0535013482875	0.0530670066042	0.0549407278705	0.0558402016074	0.0558642964769	0.0586453251493	0.0609564922914	0.060918490359	0.0602928594633	0.0601281751917	0.0599503282393	0.058471266726	0.0590049120607	0.0628336739929	0.0612766482778	0.0635918523896	0.0653998275168	0.0661077334805	0.0642138118033	0.0668549331387	0.0660733219794	0.064604479633	0.0615247305013	0.0638721549495	0.0637971285356	0.0674109482805	0.0662295853034	0.065543056335	0.066141925005	0.0711849473854	0.0705478911283	0.0694649038475	0.0692528128617	0.0710924795169	0.0654009213271	0.0700527940191	0.0711042199556	0.0768059583201	0.0822242046185	0.078634799977	0.0788377186566	0.0732281556315	0.0725119056812	0.0712806547441	0.0786352112371	0.0732904145651	0.0748832188528	0.0689402823038	0.0693601228051	0.0730112772186	0.0776445134681	0.0820648877805	0.0773143943041	0.0787056648432	0.0798967083136	0.0816127927844	0.0781511517114	0.0732704620739	0.0737213509432	0.0816591947188	0.0880544575352	0.0863297227713	0.0810951488799	0.0887848932301	0.0922703404728	0.086009301323	0.085636278453	0.0900228770467	0.093808916364	0.0947340345105	0.0896915333515	0.0937802320483	0.0888525910087	0.0772524737313	0.0736631163079	0.073333931182	0.0867419834097	0.0737939465476	0.0804146638551	0.0869900398534	0.0919192443205	0.114126787836	0.111571296426	0.107525564397	0.0932260636309	0.0949710157388	0.103492313073	0.0945791403031	0.113240850926	0.109481567372	0.102775762024	0.129851987348	0.125107873842	0.147055351714	0.15151985654	0.132121385801	0.119891128011	0.17641744681	0.188290783199	0.132489923515	0.135310081986	0.142291221622	0.14197749638	0.136910490567	0.197890410982	0.207396952835	0.19966801368	0.186760908262	0.209731368829	0.176562182097	0.178290116519	0.15649816154	0.16359590281	0.181983340454	0.210948320857	0.263900002989	0.248465805331	0.332541172899	0.32357155556	0.383191872629	0.41482668209	0.410323837839	0.279407476516																
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__	0.0450401826689	0.0450513585942	0.0450641245776	0.0450980097204	0.0450432582586	0.0450462467428	0.0451467047298	0.04524597638	0.0451638437061	0.0451637414918	0.0450203047259	0.045185981304	0.0449870539767	0.0450012674033	0.044707619954	0.0447577108456	0.0448241707521	0.0448115231826	0.0448973122907	0.0448687452437	0.0448557297707	0.0446005794458	0.0446541135508	0.044479396534	0.0443662909452	0.0444484375555	0.0443955468017	0.0447964600958	0.0448556993148	0.0443391811994	0.0444752707368	0.0449641097646	0.0450872699707	0.0449756955328	0.0453629319953	0.0447870101723	0.0447993850009	0.0454757584814	0.0446580433547	0.0446838701801	0.0445906955496	0.0442923228978	0.0442241372379	0.0441785776255	0.0442547446048	0.0445425874384	0.0448501672287	0.0448470467133	0.0442920843561	0.0440615315292	0.0457789591618	0.0468664134138	0.047532533352	0.0468975505874	0.0464325264029	0.046741209563	0.045547941947	0.045327159622	0.0444663088033	0.0453776821523	0.0448752651941	0.0444605360686	0.0438577135252	0.0448826574589	0.0425149854115	0.0422141050896	0.039925848182	0.0413939673548	0.0408653759168	0.0421949182886	0.0436913727587	0.0440104734683	0.043432345062	0.0434378519561	0.0438751965157	0.0459164944513	0.0457468525053	0.045198478794	0.0463515643081	0.0457658995425	0.04458976874	0.0421446794445	0.0411893541365	0.0420223328864	0.042863993812	0.0465262525435	0.0466323313342	0.0469594986126	0.0474063270048	0.0456692532557	0.046583662311	0.045864369149	0.047241443613	0.0464186239514	0.0464576777917	0.0442495230033	0.0462500247811	0.0442478049676	0.0434138514761	0.0426994405625	0.0446951315685	0.0420614575598	0.043816652977	0.0420595059772	0.0457126347808	0.0476920340631	0.0509405661735	0.0534795697786	0.0488826669393	0.0494922635101	0.045616160363	0.0479683491296	0.0555225051877	0.0523757060238	0.0514282702648	0.0499372372141	0.0445473463502	0.0490217587836	0.0496114354583	0.0541007830415	0.0557967085226	0.0549890625047	0.0569017131545	0.0536495020457	0.0596009296664	0.0610778792021	0.0542171403353	0.0575815247698	0.0574378250192	0.0519890935025	0.0547494951359	0.0588446165138	0.057661499716	0.0543991865932	0.0530234616099	0.0601494906257	0.064854026371	0.0647906487643	0.0565154888814	0.0635508861413	0.0661752495756	0.0686519882643	0.0558301653633	0.0555990266253	0.0587938136523	0.0511396999076	0.0478987237742																																																																															
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium;s__	-0.0242102535528	-0.0242203199753	-0.0242029372039	-0.024184803178	-0.0241469744934	-0.0241693862128	-0.0241583854214	-0.0239727189049	-0.024017301175	-0.0240342039467	-0.024110691866	-0.0240824494537	-0.0238721480863	-0.0237321778967	-0.0239447774876	-0.0239643008806	-0.023975937372	-0.0239178528076	-0.0238036891412	-0.0240611182513	-0.0240386275624	-0.0241282011973	-0.0245616692898	-0.0248246824742	-0.0246000745415	-0.0247360485792	-0.0239170226353	-0.0240053998251	-0.0239430755085	-0.0240294345915	-0.0239067556338	-0.0242818146439	-0.0243976781053	-0.0241130542213	-0.0238014242923	-0.0248108713519	-0.0251131011952	-0.0251501693401	-0.0250332841805	-0.0249171930394	-0.0241749697848	-0.0248490021563	-0.024977829111	-0.0246507959116	-0.0240950777553	-0.0242334442714	-0.0238243863055	-0.0234651995821	-0.0246790630861	-0.0252585921695	-0.0250887852408	-0.0248292993688	-0.0257977754898	-0.0267898780351	-0.0267683280029	-0.0268735844657	-0.0275446202233	-0.0288064634182	-0.0273154045304	-0.0265799801159	-0.0266583841748	-0.0251230624421	-0.0253512310776	-0.0279571092487	-0.0293398034642	-0.0280345862111	-0.0266682494217	-0.0269731834228	-0.025100945595	-0.0258872520871	-0.0265901698744	-0.0239247337676	-0.0247810112665	-0.0252195849831	-0.0250638980227	-0.0240651371204	-0.0226378474598																																																																																																																																																					
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__	0.0312311030792	0.0312458615267	0.0312455815068	0.031256775951	0.0312191161265	0.0311547498194	0.03121996903	0.0313534647466	0.0312939862518	0.0311885470037	0.0311951641307	0.0311072308044	0.0312136038121	0.0312028149508	0.0312412788748	0.0311906450673	0.0313602971002	0.0310280119009	0.0311060910008	0.0310541822594	0.0313576917971	0.0316680179394	0.0317993308202	0.0313837587397	0.031418204673	0.0317569615499	0.0314448150091	0.031176163583	0.0311358084035	0.0311945332367	0.0312605598843	0.0309223789438	0.0311284022092	0.0312076784763	0.0310835849337	0.0314854298611	0.0313250313951	0.0310280327774	0.0316739152847	0.031436247073	0.031106317948	0.0317781007951	0.0313538956743	0.031301265827	0.0309746007595	0.0303655766764	0.03047359102	0.0308782233322	0.0311480805714	0.0311881951341	0.0311255832888	0.0310581961833	0.0309495554104	0.0320317467661	0.0322678110907	0.0317907663153	0.0324237074834	0.0326621167314	0.0320991383941	0.0320499374979	0.0323253179848	0.0318311858094	0.0309067615065	0.0317750018799	0.0326777766739	0.0321985271302	0.0301244571182	0.0301017768974	0.0305807009121	0.0301047510342	0.0303766959715	0.0291963545091	0.028241146679	0.0299524213232	0.0297370457393	0.0286401584691	0.0304254374659	0.031562490061	0.0302276332481	0.0308828369041	0.0315446454596	0.0337793417355	0.0333843662802	0.0356593375464	0.0358339790646	0.034789136073	0.0364161392992	0.0347902336997	0.0348506785743	0.0354547309645	0.0368135959876	0.0364480516379	0.0348351021857	0.0347321062478	0.0347082650732	0.0361875767757	0.0349256858036	0.0358104300599	0.0348359188395	0.0346871464579	0.0324210652914																																																																																																																													
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__	-0.0573663670555	-0.0573429673562	-0.0573439881438	-0.0573059311356	-0.057315255176	-0.0572860379269	-0.057238391476	-0.057250619856	-0.0572713247699	-0.0572955978681	-0.0572651301377	-0.0573646930912	-0.057398117853	-0.0572899695333	-0.057630476242	-0.0577831411341	-0.0576930679073	-0.0580217497182	-0.0579393710967	-0.0577121397762	-0.0576622872915	-0.0576501084698	-0.0574765527882	-0.0578164204538	-0.0575476111038	-0.0572685291099	-0.0576382494165	-0.0575660716889	-0.057531239682	-0.0572529026334	-0.057344093865	-0.0574483816347	-0.057234540082	-0.0571108863257	-0.0574147725036	-0.056915570594	-0.056986823323	-0.0565467022008	-0.0563671574674	-0.0555753567	-0.0561707249387	-0.0564061881448	-0.0568213775908	-0.0567942712932	-0.0573376158224	-0.0577767258989	-0.0586715094567	-0.0578825778829	-0.0573756188453	-0.0569456098189	-0.057279417988	-0.0576065206884	-0.0577400538509	-0.0580726022983	-0.0586764723125	-0.0586293429442	-0.0593144506488	-0.0593130757062	-0.0599160545488	-0.0596238515597	-0.0590474722049	-0.0604466456342	-0.0610079245093	-0.0632563207963	-0.0633235075749	-0.0639870410822	-0.0662141489969	-0.0659672076093	-0.0660226482016	-0.0664114528729	-0.0665149677157	-0.0685581046023	-0.0682072686289	-0.0673933127649	-0.067744190151	-0.0661630738743	-0.0676060484175	-0.0671902120594	-0.0681404951605	-0.0678211224101	-0.0662429316121	-0.0663608367733	-0.0664779297032	-0.0664534874298	-0.065392471886	-0.06661784864	-0.0671159779935	-0.0674920451165	-0.0674692744115	-0.0682132841055	-0.068231905267	-0.0695378129413	-0.0702856027667	-0.0704931684395	-0.0699665155182	-0.0687270284454	-0.0693843590776	-0.0717926901917	-0.0706474300281	-0.0722115493248	-0.0761581176028	-0.0725297422677	-0.07340598094	-0.0739734019137	-0.07460161835	-0.0758121252102	-0.0767667183896	-0.0753671995117	-0.0766126286482	-0.074255841324	-0.0740363289828	-0.0780704024321	-0.0762760174817	-0.0731814885869	-0.0755945881755	-0.0765849524805	-0.08123207706	-0.0812895419025	-0.08261400405	-0.0839390352281	-0.0863907003693	-0.0842037481525	-0.0800379478424	-0.0882474375262	-0.0871633892862	-0.0879909851925	-0.0934996022041	-0.0924087571243	-0.091155431664	-0.0926969281699	-0.0951012065641	-0.0971383730298	-0.0980035872544	-0.0950139803713	-0.0896115059673	-0.0946991341099	-0.0932346856981	-0.0932210987559	-0.094577733702	-0.100242387003	-0.0965361335545	-0.0909682881686	-0.0972469790476	-0.0944075509801	-0.0941693840284	-0.100306319363	-0.112647866452	-0.106200596951	-0.120315533396	-0.0999994852757	-0.10744351788	-0.100133478928	-0.115585590496	-0.124725993901	-0.128254187895	-0.12607778361	-0.119541285109	-0.101282950195	-0.100924590424	-0.0909947157283	-0.0883909082678	-0.107713447845	-0.110114487348	-0.121195235269	-0.122981918366	-0.126213775506	-0.127981621532	-0.127825570204	-0.127820053678	-0.108950494673	-0.0995309523295	-0.107298705309	-0.105300696788	-0.0989169805663	-0.0975866911202	-0.0925899706688	-0.100220226309	-0.0946671227868	-0.0994748591461	-0.0813167484825	-0.133155217236	-0.141220655866	-0.114412377622	-0.0896968287393	-0.13994139376	-0.147323880926	-0.150025813361	-0.168529092542	-0.154645168722	-0.155703754632	-0.169245572675	-0.17125036296	-0.156432241483	-0.0532268661326	-0.0426894684177																															
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__	0.0594986341091	0.0595245153199	0.0594957485234	0.0595146360938	0.059533410195	0.0595548872701	0.059443109376	0.0594019095298	0.0594782266284	0.059455401982	0.0593251324093	0.0593748612513	0.0594175894626	0.0594309733349	0.0593259960124	0.0593031779923	0.0592695903733	0.0587266531453	0.0584493989105	0.0583048148799	0.0581873422519	0.0582466383865	0.0581127985883	0.0579052174793	0.0576040882405	0.0577584503237	0.0578477591395	0.0580123713523	0.0582274129104	0.0577429505244	0.0577757841505	0.0579388703476	0.0581273389977	0.058317838184	0.058214233667	0.0582386639575	0.0575126395966	0.0573861387772	0.05711105213	0.0569633918306	0.0576521827149	0.0567738949681	0.0558944148372	0.0558279700887	0.0558674954166	0.05502970854	0.0556059720285	0.0558054107414	0.0554649358597	0.0554190544433	0.0556302500103	0.0557949970289	0.0546483017058	0.055231248314	0.0557760263342	0.0562893852858	0.0558475282832	0.0571033217329	0.0569198633287	0.0581879920799	0.0584443468314	0.0595933957118	0.0604383231822	0.0605489999283	0.059734138391	0.0595345303793	0.0598840602002	0.0604002531358	0.0589101058136	0.0574640422365	0.0585262297608	0.0596936305436	0.0596148089405	0.060075954747	0.0606587899165	0.0608593122508	0.0638960159338	0.0623030368439	0.0621494873385	0.0615845831063	0.060150891743	0.0612491697103	0.0592487427428	0.0623560236045	0.0608779580633	0.0594197645583	0.0559607420571	0.0541442110276	0.0561077040844	0.0568939775337	0.0588060365396	0.0587882867824	0.0604416045305	0.0592573106907	0.0588499754814	0.060229866827	0.0595477615925	0.060744031885	0.0580006844533	0.0585156464427	0.0598914265478	0.0614994151658	0.0625936489041	0.0599288558782	0.0591344465792	0.0591146168407	0.0623989308084	0.0630931211679	0.0652006011511	0.0650801491076	0.0659780223335	0.0682029517461	0.0699725471192	0.066272463479	0.0651917228609	0.0661497617542	0.0775851407359	0.0792217242473	0.0784814692802	0.0750421078567	0.076894348579	0.0847669916762	0.0773058735679	0.0818385816588	0.0799916441881	0.0816552497704	0.0846355685924	0.0898939838244	0.0936633647958	0.0925400624702	0.0903829037333	0.0918732281136	0.0867374943503	0.0819508138852	0.0812972668162	0.0772053029022	0.0811677772774	0.083630749707	0.0790707801644	0.082920920433	0.0837557538045	0.0863732831301	0.0838979454673	0.0850675238578	0.0862752165462	0.0766267990131	0.069788538132	0.0780312335583	0.0839805359328	0.0882028289898	0.0802939151703	0.0737916999946	0.0782138859468	0.0665439598847	0.0664625865932	0.0781235511452	0.0951672773569	0.0979555777571	0.0998629438374	0.0985834135841	0.103387606043	0.0952735922708	0.116661326893	0.106414966949	0.120497506255	0.113090968467	0.1067340494	0.113263869452	0.104243028941	0.101595257002	0.114328277071	0.082328032481	0.0473543548443																																																					
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__kroppenstedtii	0.0855809064166	0.0855801971069	0.085611936339	0.0856039548997	0.0856118584514	0.0856846822241	0.0855874710897	0.0854991756593	0.0855450716172	0.0855933269395	0.0854488395049	0.0854013312036	0.0855329618517	0.0854972840826	0.0854803893476	0.085473315067	0.0855247363943	0.0853988745425	0.0852556571125	0.0854133701714	0.0851207136559	0.084920140519	0.0851687640785	0.0854294783061	0.0857019512896	0.0852453918572	0.0853715719066	0.0849289803818	0.0856399706399	0.0855750373349	0.0857578998481	0.0860429953593	0.0868252210255	0.0868388180918	0.0868470184474	0.0867629599307	0.0867738900624	0.0865267530283	0.0859216294846	0.0856349854306	0.0856940569776	0.0844518943821	0.0845799135026	0.0845319366261	0.0843063389985	0.0847651036049	0.0846438088059	0.0848471707655	0.0851692788274	0.0860402319959	0.0856243766392	0.0851645220718	0.0853300019751	0.0858840399539	0.0860458382529	0.085726597259	0.0857703713954	0.0864635420146	0.0859774296787	0.0868532442102	0.0868677047798	0.0875796704629	0.0876253465432	0.0892326476539	0.0903412276638	0.0903941587372	0.086578107714	0.0874071246109	0.0877504136173	0.0868598927386	0.0871865594224	0.0865111427349	0.0884635269528	0.0882097648704	0.0871516837201	0.0890166679865	0.0913664862741	0.0924590925198	0.0928744618184	0.091686008797	0.0942144729892	0.0936134072047	0.093073909384	0.0925962225921	0.0921676153993	0.0931354302047	0.0925503074519	0.0916860613949	0.0934347578251	0.0951541649015	0.0933582362981	0.0938517724303	0.0942838165621	0.0956634631555	0.0960380426462	0.0948321970884	0.0932014898036	0.089707074687	0.0921345500482	0.0941142253712	0.0941537784321	0.0918978362988	0.0933228779704	0.0956813131642	0.0959974985487	0.0963675620815	0.097694924273	0.0948484574892	0.0957706962139	0.103589047717	0.10418146456	0.103846787376	0.107185666496	0.104364484054	0.103807807805	0.105001979692	0.0979071581484	0.0964674199662	0.0969895797461	0.0972055073766	0.0953214312083	0.0916437848844	0.0950606934646	0.0927814114487	0.0992544292405	0.0989496936135	0.104525987021	0.100878752239	0.100862486207	0.101657948193	0.106290032494	0.115402843441	0.108495737437	0.108823254376	0.109718522873	0.110479772523	0.106728880142	0.109164764786	0.107337389798	0.109688165711	0.104835041507	0.107932377497	0.107060041009	0.109794911966	0.112507267379	0.121544450769	0.11205637679	0.118362272185	0.132298682233	0.129479432016	0.122439452809	0.12949223799	0.126570886484	0.142698422333	0.145692279673	0.142033797574	0.161898243689	0.158906718374	0.151546977036	0.149790894942	0.14784042647	0.157903952287	0.165888182326	0.162427939293	0.168505893383	0.161974576655	0.160357022984	0.174713009268	0.173137985443	0.151247931351	0.153197662682	0.158718728542	0.163507100437	0.170702156333	0.207016427386	0.205380705397	0.212909169294	0.215630006819	0.197427914075	0.207056086248	0.220814340415	0.226446812524	0.235663849012	0.256507481547	0.256637971022	0.271185317376	0.275434361566	0.258880712402	0.252668538289	0.257947675026	0.243560481932	0.307971162048	0.304873876672	0.299930323825	0.307356820507	0.309396401202	0.363180686396	0.321977026083	0.317772957452	0.305209692816	0.325860643468	0.33278034135	0.347507887579	0.420635562474	0.42624154388	0.553329954547	0.61037848931	0.670651097489	0.661201342874	0.99458602012	1.22952769045	1.39788288593	1.66901725687	1.94867295601	2.55528740779	4.65061026985	5.88302160912	4.16107740359	3.87423744285	3.19129982502	2.35957920498	2.12669434496	2.05437949419	1.24948552117	1.24881128338	0.834572172913
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__simulans	-0.0122072392293	-0.0122092622067	-0.0122661193133	-0.0123137336511	-0.0122877161405	-0.0122872292762	-0.0124319891714	-0.0123822694217	-0.0124109746731	-0.0124082158681	-0.0123416822905	-0.0122256944635	-0.0121797422891	-0.0121719170362	-0.0121660380395	-0.0121876508517	-0.0121212694511	-0.0122765847311	-0.0122918876366	-0.0123975372025	-0.012647258594	-0.0126123849235	-0.0127888497447	-0.0128757332446	-0.0125385735279	-0.0119564934424	-0.0113354971713	-0.0112277330303	-0.0113353289365	-0.0111712549949	-0.0111643118068	-0.0120023804724	-0.0119557153089	-0.011974988696	-0.0123537605112	-0.0126125591724	-0.0129950929339	-0.0133104400275	-0.0131759423248	-0.0133510165658	-0.0128724308002	-0.0135352143243	-0.0136736159027	-0.0140838149282	-0.0137163972311	-0.0139347110623	-0.0143135351142	-0.0142165861804	-0.014167271433	-0.0148570125182	-0.0154324374086	-0.0143596854642																																																																																																																																																																														
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__stationis	0.0272701080801	0.0272617964507	0.0272206290989	0.0272030969046	0.0272253818764	0.0271570369049	0.0272680353831	0.0273230401563	0.0272977919661	0.0270908072749	0.0272576870432	0.0271594629035	0.027064604933	0.0271437582274	0.0272948822274	0.0272491604971	0.0274260934901	0.0274653800439	0.0274186008015	0.0274716752938	0.0274955330037	0.0276678960763	0.0274467332926	0.0275070663803	0.0276436463456	0.0284859001717	0.0290651458418	0.0289394657425	0.0293419371457	0.0293028435252	0.0289202312052	0.0295416957289	0.0296388302346	0.0291895145375	0.0291950351614	0.0292031052194	0.0291320838782	0.0287859740694	0.0292669622114	0.0291138185045	0.0297134270869	0.0296852554361	0.0298390055787	0.0298246681269	0.0289746007051	0.0284896272955	0.0295263280402	0.0294900343579	0.0288593953582	0.0275740262949	0.0275527440724	0.0276781134981	0.026321542839	0.0257624126492	0.0256678856546	0.0263428980838	0.0265005914152	0.0277205458284	0.0293540706197	0.0278930718433	0.0285807885124	0.0297387536885	0.0296056078766	0.0291255663818	0.0295985768743	0.0302677098774	0.0293745833887	0.0287184049658	0.0284606877367	0.0275192603688	0.0265534863291	0.0254196760585	0.0259514442454	0.0249519754609	0.0258586803806	0.0270838131831	0.0310456166532	0.0286741168731	0.0287727400375	0.0305202941837	0.0272584390601	0.0273855793569	0.0242590653347																																																																																																																																															
