	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SMIC.036.01.Day.02	0.000160558744431	0.000602095291615	0.0	0.0	0.0	0.000120419058323	0.0	0.0	0.000200698430538	0.0	0.0	0.000361257174969	0.0	0.0	0.0	0.0	0.0	0.000120419058323	0.0	0.000120419058323	0.00646248946333	0.000561955605507	4.01396861077e-05	0.0	0.0	8.02793722153e-05	0.0	0.0	0.000120419058323	0.0	0.0	8.02793722153e-05	0.000120419058323	0.0	0.0	0.0	0.0	0.0	0.000481676233292	4.01396861077e-05	0.0	4.01396861077e-05	0.000441536547184
SMIC.029.01.Day.02	0.0	0.000293453062183	0.0	0.00017607183731	0.000234762449746	8.80359186548e-05	0.0	0.0	5.86906124365e-05	0.00281714939695	0.0	0.000352143674619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.93453062183e-05	0.0183408163864	8.80359186548e-05	0.000440179593274	5.86906124365e-05	0.000146726531091	0.00745370777944	0.0	0.0	0.0	0.0046659036887	0.0	0.000234762449746	0.00437245062652	0.0	0.0	0.0	5.86906124365e-05	0.0	0.00202482612906	0.000146726531091	0.0	0.0	0.000733632655457
SMIC.021.03.Day.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.18822070106e-05	0.0	0.0	0.0	0.00225111407176	0.000137823310516	4.59411035053e-05	0.0	0.0	0.000137823310516	0.0	0.000229705517527	0.0	0.0	0.0	4.59411035053e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00105664538062	0.0	0.0	0.0
SMIC.007.01.Day.02	0.000220597504097	0.000598764653977	0.0	0.000441195008194	0.0	6.30278583134e-05	0.0	0.0	0.000787848228917	0.000630278583134	3.15139291567e-05	0.0	0.0	0.0	0.0	0.0	0.0	6.30278583134e-05	3.15139291567e-05	0.00318290684483	0.0261250472709	0.000157569645783	0.000346653220724	3.15139291567e-05	9.45417874701e-05	0.00349804613639	0.0	0.0	0.000724820370604	3.15139291567e-05	0.0	0.00154418252868	0.012069834867	9.45417874701e-05	0.0	0.0	0.0	0.0	0.0150636581369	0.000441195008194	3.15139291567e-05	0.0	0.000598764653977
SMIC.018.01.Day.02	2.66042353943e-05	0.0	0.0	0.00109077365117	0.0	5.32084707885e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000212833883154	0.00933808662339	0.00154304565287	0.000904544003405	0.092715760349	2.66042353943e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00172927530063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.32084707885e-05
SMIC.014.03.Day.02	0.0001442342364	9.61561575999e-05	0.0	4.80780788e-05	0.0	0.0	0.0	0.0	9.61561575999e-05	0.0	0.0	9.61561575999e-05	0.0	0.0	0.0005528979062	0.0	4.80780788e-05	2.40390394e-05	0.0	0.0053366667468	0.0025962162552	0.0001682732758	0.0006250150244	0.05168393471	0.000120195197	0.0005048198274	0.0	0.0	0.0	0.0	0.0	0.0001442342364	0.0003846246304	0.0	0.0	0.0	0.0	0.0	0.0001442342364	0.0	0.0	0.0	9.61561575999e-05
SMIC.003.01.Day.02	0.000111769308148	0.000251480943333	0.0	0.000223538616296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00153682798703	0.0	0.0	0.0	2.7942327037e-05	0.000195596289259	0.0	0.0	0.000251480943333	0.0159830110652	0.000866212138147	0.0	0.000111769308148	0.000782385157036	0.000111769308148	2.7942327037e-05	0.0	8.3826981111e-05	0.0	0.0	0.000586788867777	0.000754442829999	2.7942327037e-05	0.0	0.0	0.0	0.0	0.000223538616296	0.000195596289259	0.0	0.0	2.7942327037e-05
SMIC.034.01.Day.02	0.000362472059445	0.000120824019815	3.02060049538e-05	0.000543708089168	0.0	6.04120099076e-05	3.02060049538e-05	0.0	0.000181236029723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.02060049538e-05	0.000422884069353	0.0	0.000755150123845	0.0206307013834	0.000513502084214	0.000271854044584	0.0	0.000422884069353	0.00969612759016	0.0	0.0	0.000906180148614	0.000755150123845	0.0	6.04120099076e-05	0.00631305503534	0.0	0.0	0.0	0.0	0.0	0.00211442034676	0.000634326104029	0.0	0.0	0.0035945145895
SMIC.030.01.Day.02	0.000127352843789	0.0	5.09411375156e-05	0.000127352843789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.54705687578e-05	0.0	0.0	5.09411375156e-05	2.54705687578e-05	0.0	0.000127352843789	0.0	0.000127352843789	0.00769211176486	0.0	0.000560352512672	0.0	2.54705687578e-05	0.00145182241919	0.0	2.54705687578e-05	7.64117062734e-05	0.0	0.0	0.0	0.00570540740175	0.0	0.0	0.0	0.0	0.0	0.000203764550062	2.54705687578e-05	0.0	0.0	0.000152823412547
SMIC.037.01.Day.02	0.000130391696657	0.0	0.0	0.000365096750639	0.0	2.60783393314e-05	0.0	0.0	5.21566786627e-05	0.0	7.82350179941e-05	0.0	0.0	0.0	0.000182548375319	0.0	0.0	0.0	0.0	0.000182548375319	0.01755072237	0.0	0.0021645021645	0.0	0.000182548375319	0.00101705523392	0.0	0.0	0.0	0.0	2.60783393314e-05	2.60783393314e-05	0.0337192927554	0.0	0.0	0.0	0.0	0.0	0.000521566786627	5.21566786627e-05	0.0	0.0	0.0
SMIC.022.02.Day.02	0.0	6.50519331266e-05	0.000130103866253	8.67359108355e-05	0.0	8.67359108355e-05	0.0	0.0	0.0	0.0	0.0	8.67359108355e-05	0.00108419888544	0.0	2.16839777089e-05	4.33679554177e-05	0.0	6.50519331266e-05	0.0	0.000780623197519	0.0132922783355	0.000108419888544	0.000997462974608	0.0	4.33679554177e-05	0.00633172149099	0.0	0.00156124639504	4.33679554177e-05	2.16839777089e-05	0.0	2.16839777089e-05	0.00173471821671	2.16839777089e-05	0.0	0.0	0.0	0.0	0.000715571264393	8.67359108355e-05	2.16839777089e-05	0.0	0.000216839777089
SMIC.022.01.Day.02	0.000597712391665	0.000271687450757	2.71687450757e-05	0.00019018121553	0.0	0.0	8.1506235227e-05	0.0	0.000163012470454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000163012470454	0.0	0.000271687450757	0.00573260521097	2.71687450757e-05	8.1506235227e-05	0.0	0.000407531176135	0.00584128019127	0.0	0.0	2.71687450757e-05	0.00298856195832	0.0	0.000434699921211	0.000706387371967	0.0	0.0	2.71687450757e-05	0.0	0.0	0.0	0.000108674980303	0.0	0.0	0.00062488113674
SMIC.004.01.Day.02	0.000123061777012	0.0	0.0	0.000738370662072	0.0	3.0765444253e-05	0.0	0.0	0.000153827221265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000215358109771	0.0	0.00159980310116	0.00913733694315	6.1530888506e-05	6.1530888506e-05	0.0	0.000646074329313	0.000123061777012	0.0	0.0	0.00107679054886	0.000276888998277	0.0	0.000246123554024	0.00575313807531	6.1530888506e-05	0.0	0.0	0.0	0.0	0.000584543440807	9.2296332759e-05	0.0	3.0765444253e-05	3.0765444253e-05
SMIC.035.01.Day.02	0.000140370578327	0.000701852891634	0.0	0.000772038180797	0.0	0.00143879842785	0.0	0.0	0.0	0.000596574957889	0.000105277933745	0.0	0.0	3.50926445817e-05	0.0	7.01852891634e-05	0.0	0.000386019090399	0.0	0.000105277933745	0.0315482874789	0.000140370578327	0.0	0.0	0.00122824256036	0.00393037619315	0.0	0.0	0.00108787198203	0.0032636159461	0.000315833801235	0.000175463222908	0.00533408197642	0.0	0.0	7.01852891634e-05	0.0	0.0	0.0024915777653	0.000526389668725	0.0	0.0	0.00305306007861
SMIC.023.01.Day.02	0.000673227967813	6.41169493156e-05	0.0	0.000480877119867	0.0	0.000128233898631	0.0	6.41169493156e-05	6.41169493156e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000641169493156	0.0	0.000128233898631	0.0026608533966	0.000224409322604	0.000128233898631	0.0	0.00173115763152	0.0284999839708	0.0	0.0	6.41169493156e-05	0.001218222037	0.0	0.000224409322604	0.00115410508768	0.000320584746578	9.61754239733e-05	0.0	0.0	0.0	0.0228256339563	9.61754239733e-05	0.0	0.0	0.0
SMIC.008.02.Day.02	0.000247747050262	0.000154841906414	0.0	0.000216778668979	0.0	3.09683812827e-05	0.0	0.0	3.09683812827e-05	0.000278715431544	0.0	0.0	0.0	0.0	3.09683812827e-05	0.0	0.0	0.000185810287696	0.0	3.09683812827e-05	0.023876621969	0.000185810287696	0.0219565823294	0.0	0.000650336006937	0.00105292496361	0.0	0.0	0.000247747050262	0.00068130438822	0.0	0.000216778668979	0.00170326097055	0.0	0.0	0.0	0.0	0.0	9.29051438481e-05	0.000309683812827	0.0	0.0	0.000247747050262
SMIC.008.03.Day.02	0.000110979579757	3.69931932524e-05	0.000258952352767	7.39863865049e-05	0.0	3.69931932524e-05	0.0	0.0	0.0	0.0	0.0	0.000480911512282	0.0	0.0	0.000369931932524	3.69931932524e-05	0.0	0.00029594554602	0.0	0.0	0.0116158626813	0.000184965966262	0.0	7.39863865049e-05	0.000665877478544	0.0091003255401	0.0	0.0	0.0	0.0	0.0	7.39863865049e-05	0.00110979579757	3.69931932524e-05	0.000110979579757	0.0	0.0	0.0	0.00014797277301	0.0	0.0	0.0	7.39863865049e-05
SMIC.037.02.Day.02	0.0	0.0	0.000265378695398	0.000530757390797	0.0	0.0	0.0	0.0	5.30757390797e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000185765086779	0.00249455973674	5.30757390797e-05	0.00437874847407	0.000265378695398	0.0	2.65378695398e-05	0.0	0.00374183960512	0.000212302956319	0.0	0.0	0.0	2.65378695398e-05	0.0	0.0	0.0	0.0	0.0	7.96136086195e-05	0.0	0.0	0.0	0.0
SMIC.036.03.Day.02	0.000521901211556	0.00100652376514	0.0	0.0022367194781	0.0	7.45573159366e-05	0.0	0.0	0.000186393289842	0.000484622553588	7.45573159366e-05	7.45573159366e-05	0.0	0.0	0.0	0.0	0.0	0.00022367194781	0.0	0.00022367194781	0.0283317800559	0.00089468779124	7.45573159366e-05	0.0	0.00044734389562	0.00253494874185	0.0	0.0	0.00260950605778	0.00238583410997	0.0	0.00216216216216	0.00395153774464	0.0	0.0	0.0	0.0	0.0	3.72786579683e-05	0.00067101584343	0.0	0.0	0.0206523765144
SMIC.016.01.Day.02	0.000321276538781	0.000963829616342	0.0	0.000428368718374	0.0	0.000294503493882	0.0	0.0	0.00016063826939	2.67730448984e-05	0.0	0.0	0.0	0.0	2.67730448984e-05	0.0	0.0	0.000348049583679	0.0	5.35460897968e-05	0.0194104575513	0.000187411314289	8.03191346952e-05	0.0	0.000856737436749	0.00904928917566	0.0	0.0	0.000214184359187	0.000214184359187	0.0	0.000187411314289	0.000187411314289	0.0	2.67730448984e-05	0.0	0.0	0.0	0.00356081497149	0.000481914808171	0.0	0.0	0.00259698535514
SMIC.031.03.Day.02	0.000428228845495	0.000171291538198	8.5645769099e-05	0.00128468653649	0.0	0.000199840127898	0.0	0.0	5.70971793993e-05	0.000428228845495	0.0	0.00111339499829	0.0	0.0	0.0	0.0	0.0	0.00105629781889	2.85485896997e-05	0.000599520383693	0.0114765330593	0.000742263332191	5.70971793993e-05	0.0	0.00259792166267	0.010363138061	0.0	0.0	0.00111339499829	0.000656617563092	0.0	0.000942103460089	0.00476761447984	0.000171291538198	0.000114194358799	2.85485896997e-05	0.0	0.0	0.000999200639488	0.000542423204294	0.0	2.85485896997e-05	0.000142742948498
